ADMINISTRATIVE_BOUNDARIES	77	Administrative_boundaries
WATER_AUTHORITY	78	Water_Authority
GROUND_WATER	13	Ground_water
BUILT_AREA	2	Urban_area
DOCKS	3	Docks
FLOOD_AREAS	22	Flood_areas
LITHOLOGY-SOIL_DEGRADATION	55	Lithology_Soil_Degradation
AGRICOLTURAL_TYPE	44	Agricultural_type
BELVEDERE	29	Belvedere
ARCHEOLOGICAL_SITES	94	Archeological_sites
